Plasmid,cmh_p_raw,OR_pooled,Informative_Clusters,cmh_p_fdr
IncFIB(S),0.9479332993009132,0.9259259259259258,4,0.9479332993009132
IncFII(S),0.6376437002473019,1.5925925925925926,5,0.7970546253091273
IncX1,0.6112195843584975,0.6352941176470589,4,0.7970546253091273
IncI1-I(Alpha),0.47950012218695337,0.0,1,0.7970546253091273
IncI2(Delta),0.4142161782425251,inf,1,0.7970546253091273
